"citizen","geo","time","values","iso2"
"Azerbaijan","Croatia",2015-09-01,NA,"HR"
"Azerbaijan","Hungary",2015-09-01,NA,"HU"
"Azerbaijan","Ireland",2015-09-01,NA,"IE"
"Azerbaijan","Iceland",2015-09-01,NA,"IS"
"Azerbaijan","Italy",2015-09-01,NA,"IT"
"Azerbaijan","Liechtenstein",2015-09-01,0,"LI"
"Azerbaijan","Lithuania",2015-09-01,NA,"LT"
"Azerbaijan","Luxembourg",2015-09-01,NA,"LU"
"Azerbaijan","Latvia",2015-09-01,NA,"LV"
"Azerbaijan","Malta",2015-09-01,NA,"MT"
"Azerbaijan","Netherlands",2015-09-01,NA,"NL"
"Azerbaijan","Norway",2015-09-01,0,"NO"
"Azerbaijan","Poland",2015-09-01,0,"PL"
"Azerbaijan","Portugal",2015-09-01,NA,"PT"
"Azerbaijan","Romania",2015-09-01,NA,"RO"
"Azerbaijan","Sweden",2015-09-01,40,"SE"
"Azerbaijan","Slovenia",2015-09-01,NA,"SI"
"Azerbaijan","Slovakia",2015-09-01,NA,"SK"
"Azerbaijan","Total",2015-09-01,180,"TOTAL"
"Azerbaijan","United Kingdom",2015-09-01,NA,"UK"
"Bosnia and Herzegovina","Austria",2015-09-01,NA,"AT"
"Bosnia and Herzegovina","Belgium",2015-09-01,0,"BE"
"Bosnia and Herzegovina","Bulgaria",2015-09-01,0,"BG"
"Bosnia and Herzegovina","Switzerland",2015-09-01,5,"CH"
"Bosnia and Herzegovina","Cyprus",2015-09-01,NA,"CY"
"Bosnia and Herzegovina","Czech Republic",2015-09-01,NA,"CZ"
"Bosnia and Herzegovina","Germany (until 1990 former territory of the FRG)",2015-09-01,615,"DE"
"Bosnia and Herzegovina","Denmark",2015-09-01,NA,"DK"
"Bosnia and Herzegovina","Estonia",2015-09-01,NA,"EE"
"Bosnia and Herzegovina","Greece",2015-09-01,NA,"EL"
"Bosnia and Herzegovina","Spain",2015-09-01,NA,"ES"
"Bosnia and Herzegovina","European Union (28 countries)",2015-09-01,680,"EU28"
"Bosnia and Herzegovina","Finland",2015-09-01,0,"FI"
"Bosnia and Herzegovina","France",2015-09-01,NA,"FR"
"Bosnia and Herzegovina","Croatia",2015-09-01,NA,"HR"
"Bosnia and Herzegovina","Hungary",2015-09-01,NA,"HU"
"Bosnia and Herzegovina","Ireland",2015-09-01,NA,"IE"
"Bosnia and Herzegovina","Iceland",2015-09-01,NA,"IS"
"Bosnia and Herzegovina","Italy",2015-09-01,NA,"IT"
"Bosnia and Herzegovina","Liechtenstein",2015-09-01,0,"LI"
"Bosnia and Herzegovina","Lithuania",2015-09-01,NA,"LT"
"Bosnia and Herzegovina","Luxembourg",2015-09-01,NA,"LU"
"Bosnia and Herzegovina","Latvia",2015-09-01,NA,"LV"
"Bosnia and Herzegovina","Malta",2015-09-01,NA,"MT"
"Bosnia and Herzegovina","Netherlands",2015-09-01,NA,"NL"
"Bosnia and Herzegovina","Norway",2015-09-01,5,"NO"
"Bosnia and Herzegovina","Poland",2015-09-01,0,"PL"
"Bosnia and Herzegovina","Portugal",2015-09-01,NA,"PT"
"Bosnia and Herzegovina","Romania",2015-09-01,NA,"RO"
"Bosnia and Herzegovina","Sweden",2015-09-01,65,"SE"
"Bosnia and Herzegovina","Slovenia",2015-09-01,NA,"SI"
"Bosnia and Herzegovina","Slovakia",2015-09-01,NA,"SK"
"Bosnia and Herzegovina","Total",2015-09-01,690,"TOTAL"
"Bosnia and Herzegovina","United Kingdom",2015-09-01,NA,"UK"
"Barbados","Austria",2015-09-01,NA,"AT"
"Barbados","Belgium",2015-09-01,0,"BE"
"Barbados","Bulgaria",2015-09-01,0,"BG"
"Barbados","Switzerland",2015-09-01,0,"CH"
"Barbados","Cyprus",2015-09-01,NA,"CY"
"Barbados","Czech Republic",2015-09-01,NA,"CZ"
"Barbados","Germany (until 1990 former territory of the FRG)",2015-09-01,0,"DE"
"Barbados","Denmark",2015-09-01,NA,"DK"
"Barbados","Estonia",2015-09-01,NA,"EE"
"Barbados","Greece",2015-09-01,NA,"EL"
"Barbados","Spain",2015-09-01,NA,"ES"
"Barbados","European Union (28 countries)",2015-09-01,0,"EU28"
"Barbados","Finland",2015-09-01,0,"FI"
"Barbados","France",2015-09-01,NA,"FR"
"Barbados","Croatia",2015-09-01,NA,"HR"
"Barbados","Hungary",2015-09-01,NA,"HU"
"Barbados","Ireland",2015-09-01,NA,"IE"
"Barbados","Iceland",2015-09-01,NA,"IS"
"Barbados","Italy",2015-09-01,NA,"IT"
"Barbados","Liechtenstein",2015-09-01,0,"LI"
"Barbados","Lithuania",2015-09-01,NA,"LT"
"Barbados","Luxembourg",2015-09-01,NA,"LU"
"Barbados","Latvia",2015-09-01,NA,"LV"
"Barbados","Malta",2015-09-01,NA,"MT"
"Barbados","Netherlands",2015-09-01,NA,"NL"
"Barbados","Norway",2015-09-01,0,"NO"
